indices,times,engine,encoded_indices
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.050993919372558594, 0.0019927024841308594, 0.0014657974243164062, 0.0020210742950439453, 0.044519662857055664, 0.007036924362182617, 0.0019898414611816406, 0.0060002803802490234, 0.010013103485107422, 0.02041316032409668]",MyISAM,I18+I16+I17+I12+I20+I11
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.05010676383972168, 0.0009999275207519531, 0.009016752243041992, 0.001999378204345703, 0.04364347457885742, 0.006598234176635742, 0.0020046234130859375, 0.006019115447998047, 0.01113271713256836, 0.01906871795654297]",MyISAM,I18+I16+I17+I14+I20+I11
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.0565342903137207, 0.001998424530029297, 0.0009987354278564453, 0.0020265579223632812, 0.04646706581115723, 0.007030963897705078, 0.0009999275207519531, 0.005571842193603516, 0.010012149810791016, 0.018623828887939453]",MyISAM,I18+I16+I12+I14+I20+I11
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.050637245178222656, 0.0019936561584472656, 0.0010035037994384766, 0.00202178955078125, 0.04715991020202637, 0.0070035457611083984, 0.0020258426666259766, 0.0060176849365234375, 0.011002540588378906, 0.019462108612060547]",MyISAM,I18+I17+I12+I14+I20+I11
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.11527347564697266, 0.001997709274291992, 0.0019330978393554688, 0.0020389556884765625, 0.09916472434997559, 0.007999420166015625, 0.0010242462158203125, 0.00503230094909668, 0.01002812385559082, 0.020389080047607422]",MyISAM,I16+I17+I12+I14+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.05377531051635742, 0.001970052719116211, 0.001987457275390625, 0.005033969879150391, 0.04483509063720703, 0.008048057556152344, 0.0020418167114257812, 0.005029439926147461, 0.01100611686706543, 0.018591880798339844]",MyISAM,I13+I19+I15+I18+I16+I17+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.05677175521850586, 0.0019981861114501953, 0.0020079612731933594, 0.005063056945800781, 0.04336261749267578, 0.007702827453613281, 0.0020036697387695312, 0.005043506622314453, 0.010015726089477539, 0.02303171157836914]",MyISAM,I13+I19+I15+I18+I16+I17+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.056859493255615234, 0.0019974708557128906, 0.0030002593994140625, 0.002025127410888672, 0.044719696044921875, 0.006998777389526367, 0.001999378204345703, 0.006023406982421875, 0.010517358779907227, 0.019780874252319336]",MyISAM,I13+I19+I15+I18+I16+I17+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.05333995819091797, 0.002002239227294922, 0.002595186233520508, 0.004999876022338867, 0.04581618309020996, 0.006998777389526367, 0.0020303726196289062, 0.005027294158935547, 0.011027336120605469, 0.019005298614501953]",MyISAM,I13+I19+I15+I18+I16+I17+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.053830862045288086, 0.001997232437133789, 0.0019998550415039062, 0.006003856658935547, 0.04552936553955078, 0.008077383041381836, 0.00189208984375, 0.005995512008666992, 0.011052370071411133, 0.019511938095092773]",MyISAM,I13+I19+I15+I18+I16+I12+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.05480051040649414, 0.0029604434967041016, 0.0020003318786621094, 0.002103090286254883, 0.043412208557128906, 0.00852346420288086, 0.001291513442993164, 0.005025625228881836, 0.01002645492553711, 0.019030094146728516]",MyISAM,I13+I19+I15+I18+I16+I12+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.058396100997924805, 0.0010104179382324219, 0.0020275115966796875, 0.004998683929443359, 0.04370284080505371, 0.006974458694458008, 0.0020034313201904297, 0.006030082702636719, 0.011012077331542969, 0.019618749618530273]",MyISAM,I13+I19+I15+I18+I16+I12+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.05467844009399414, 0.002002239227294922, 0.0020034313201904297, 0.0020008087158203125, 0.046825408935546875, 0.007376194000244141, 0.0018832683563232422, 0.005053520202636719, 0.010015487670898438, 0.021080493927001953]",MyISAM,I13+I19+I15+I18+I16+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.05322766304016113, 0.0019991397857666016, 0.0030143260955810547, 0.006028413772583008, 0.04503750801086426, 0.006999015808105469, 0.0020003318786621094, 0.005033254623413086, 0.009967327117919922, 0.020209074020385742]",MyISAM,I13+I19+I15+I18+I16+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.051711320877075195, 0.0020041465759277344, 0.0029981136322021484, 0.002033710479736328, 0.044553279876708984, 0.0070002079010009766, 0.0010004043579101562, 0.005033969879150391, 0.010027647018432617, 0.018994569778442383]",MyISAM,I13+I19+I15+I18+I16+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.05502152442932129, 0.0015330314636230469, 0.001506805419921875, 0.00497126579284668, 0.04435372352600098, 0.008001089096069336, 0.0020072460174560547, 0.005020618438720703, 0.01007223129272461, 0.01951909065246582]",MyISAM,I13+I19+I15+I18+I17+I12+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.05084228515625, 0.001995086669921875, 0.0010039806365966797, 0.0020041465759277344, 0.04692435264587402, 0.006402730941772461, 0.0020008087158203125, 0.0059893131256103516, 0.010998010635375977, 0.0190427303314209]",MyISAM,I13+I19+I15+I18+I17+I12+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.053198814392089844, 0.0019996166229248047, 0.0009853839874267578, 0.005996227264404297, 0.04454755783081055, 0.006270885467529297, 0.0020084381103515625, 0.006000518798828125, 0.010024785995483398, 0.019993305206298828]",MyISAM,I13+I19+I15+I18+I17+I12+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.05269002914428711, 0.0010006427764892578, 0.003894805908203125, 0.003003358840942383, 0.04609942436218262, 0.007046699523925781, 0.0010023117065429688, 0.005029201507568359, 0.011039495468139648, 0.01858377456665039]",MyISAM,I13+I19+I15+I18+I17+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.054451704025268555, 0.002000093460083008, 0.0020058155059814453, 0.006042957305908203, 0.04613304138183594, 0.0070002079010009766, 0.002001523971557617, 0.005955696105957031, 0.010582208633422852, 0.021846532821655273]",MyISAM,I13+I19+I15+I18+I17+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.05388760566711426, 0.002003908157348633, 0.0019996166229248047, 0.002518892288208008, 0.043554067611694336, 0.007531642913818359, 0.0019800662994384766, 0.00511479377746582, 0.009999752044677734, 0.018590688705444336]",MyISAM,I13+I19+I15+I18+I17+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.05284929275512695, 0.0019996166229248047, 0.0019991397857666016, 0.0026700496673583984, 0.04488706588745117, 0.006999015808105469, 0.0010175704956054688, 0.004998445510864258, 0.011001110076904297, 0.020084381103515625]",MyISAM,I13+I19+I15+I18+I12+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.05730628967285156, 0.001997709274291992, 0.0010287761688232422, 0.005011796951293945, 0.04613089561462402, 0.00800013542175293, 0.001027822494506836, 0.005049467086791992, 0.0100250244140625, 0.01904010772705078]",MyISAM,I13+I19+I15+I18+I12+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.052852630615234375, 0.0020012855529785156, 0.0019979476928710938, 0.003007650375366211, 0.05392718315124512, 0.008998632431030273, 0.0009992122650146484, 0.004982471466064453, 0.010015010833740234, 0.019670486450195312]",MyISAM,I13+I19+I15+I18+I12+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.056771039962768555, 0.0010309219360351562, 0.0028960704803466797, 0.002997159957885742, 0.04602169990539551, 0.006752729415893555, 0.0010008811950683594, 0.0058727264404296875, 0.012014627456665039, 0.019051313400268555]",MyISAM,I13+I19+I15+I18+I14+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.11332345008850098, 0.0009999275207519531, 0.0010020732879638672, 0.005001068115234375, 0.09508204460144043, 0.008000850677490234, 0.002002239227294922, 0.007050991058349609, 0.010955095291137695, 0.026671171188354492]",MyISAM,I13+I19+I15+I16+I17+I12+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.11898279190063477, 0.00055694580078125, 0.0010285377502441406, 0.0020253658294677734, 0.10569453239440918, 0.006597042083740234, 0.0010204315185546875, 0.005002021789550781, 0.009979724884033203, 0.018001556396484375]",MyISAM,I13+I19+I15+I16+I17+I12+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.11922144889831543, 0.001001119613647461, 0.0010018348693847656, 0.005018472671508789, 0.09641218185424805, 0.007593393325805664, 0.0010051727294921875, 0.005013704299926758, 0.010016679763793945, 0.019205808639526367]",MyISAM,I13+I19+I15+I16+I17+I12+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.12352228164672852, 0.0010001659393310547, 0.0019817352294921875, 0.002716541290283203, 0.12268757820129395, 0.009056568145751953, 0.0020003318786621094, 0.005051374435424805, 0.011034488677978516, 0.019700288772583008]",MyISAM,I13+I19+I15+I16+I17+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.11498785018920898, 0.0019986629486083984, 0.0019996166229248047, 0.005002737045288086, 0.09620547294616699, 0.007003068923950195, 0.0010020732879638672, 0.005509853363037109, 0.010013818740844727, 0.018997907638549805]",MyISAM,I13+I19+I15+I16+I17+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.11619949340820312, 0.002145528793334961, 0.0029964447021484375, 0.002022981643676758, 0.10506916046142578, 0.007191658020019531, 0.0019979476928710938, 0.0050029754638671875, 0.011001825332641602, 0.01885366439819336]",MyISAM,I13+I19+I15+I16+I17+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.13555407524108887, 0.001998424530029297, 0.002001523971557617, 0.002030611038208008, 0.11628890037536621, 0.006997346878051758, 0.0010101795196533203, 0.005000591278076172, 0.010000228881835938, 0.019779443740844727]",MyISAM,I13+I19+I15+I16+I12+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.11770296096801758, 0.0020003318786621094, 0.0020036697387695312, 0.0049991607666015625, 0.09955787658691406, 0.008037090301513672, 0.001035451889038086, 0.0051517486572265625, 0.012577295303344727, 0.020001888275146484]",MyISAM,I13+I19+I15+I16+I12+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.12492132186889648, 0.0010039806365966797, 0.0010001659393310547, 0.0019381046295166016, 0.09906196594238281, 0.007029294967651367, 0.0010099411010742188, 0.004997968673706055, 0.011042594909667969, 0.02004718780517578]",MyISAM,I13+I19+I15+I16+I12+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.11510300636291504, 0.0010008811950683594, 0.0029892921447753906, 0.0020189285278320312, 0.09704780578613281, 0.006936788558959961, 0.002000570297241211, 0.005087852478027344, 0.01207423210144043, 0.021515369415283203]",MyISAM,I13+I19+I15+I16+I14+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.1168057918548584, 0.0019974708557128906, 0.0010249614715576172, 0.0019888877868652344, 0.10723114013671875, 0.007964372634887695, 0.001001119613647461, 0.004025459289550781, 0.010021448135375977, 0.019608259201049805]",MyISAM,I13+I19+I15+I17+I12+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.13572454452514648, 0.002001523971557617, 0.001650094985961914, 0.005033016204833984, 0.10378599166870117, 0.0070569515228271484, 0.0010080337524414062, 0.004997968673706055, 0.010022401809692383, 0.019754648208618164]",MyISAM,I13+I19+I15+I17+I12+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.14697718620300293, 0.0020024776458740234, 0.0020110607147216797, 0.002652883529663086, 0.09722232818603516, 0.006558895111083984, 0.0009989738464355469, 0.007992744445800781, 0.010103702545166016, 0.019052982330322266]",MyISAM,I13+I19+I15+I17+I12+I20+I11
